iter	PRAUC	Logloss
0	0.9613418838	0.6764449279
1	0.9610040062	0.6610825666
2	0.9611337334	0.6465348743
3	0.9624428937	0.6329758342
4	0.9636094625	0.622610065
5	0.9633003863	0.6096912169
6	0.9648156803	0.5975917638
7	0.9654763804	0.5847623299
8	0.9657007449	0.572843865
9	0.9657816428	0.560794794
10	0.9660493013	0.5503656729
11	0.9657002819	0.5427042423
12	0.9656596897	0.5314721605
13	0.965525124	0.5218375059
14	0.9654353488	0.5105874363
15	0.9654805234	0.5002077914
16	0.9652323053	0.4921387995
17	0.9650065527	0.4838032789
18	0.9651825861	0.4757557643
19	0.9651646317	0.4683385473
20	0.9655267695	0.460750737
21	0.9654303811	0.4532892546
22	0.9655649232	0.4467650655
23	0.9657106694	0.4396561295
24	0.9660787452	0.4326431945
25	0.9660921767	0.4263470548
26	0.9662284978	0.4202040449
27	0.9662236909	0.4146317057
28	0.9662375913	0.4090736106
29	0.9665401511	0.4035044349
30	0.9665123174	0.3992960285
31	0.9664075964	0.3943694244
32	0.9663245456	0.3903257099
33	0.9665394479	0.3859877089
34	0.966451755	0.3815789348
35	0.9664461105	0.3768438055
36	0.9664711665	0.3722684316
37	0.9664114251	0.3690476961
38	0.9663586643	0.3649601121
39	0.966472203	0.3615949839
40	0.9664324583	0.3577281358
41	0.966418004	0.3542153915
42	0.9664217544	0.3515658801
43	0.966433736	0.3480582717
44	0.966408141	0.3447108574
45	0.9666392201	0.3419637267
46	0.96672232	0.3389336539
47	0.9666504203	0.3364638122
48	0.9666553798	0.333428041
49	0.9665962172	0.3319544795
50	0.9666099544	0.3297326065
51	0.9665847851	0.3278953749
52	0.9665427439	0.3256719397
53	0.966446002	0.3233480394
54	0.9664520539	0.3207221712
55	0.9664554064	0.3184409054
56	0.9664524397	0.3164123648
57	0.966444485	0.3139532558
58	0.9664344109	0.3115490927
59	0.9665042249	0.3098303137
60	0.9665135827	0.3079848356
61	0.9665387853	0.3058492298
62	0.9665124542	0.3043793103
63	0.9665483353	0.302751851
64	0.9666345156	0.3009830583
65	0.9665465855	0.2992337349
66	0.9665673172	0.2978042257
67	0.9664998829	0.2962767696
68	0.9665903616	0.2951156143
69	0.9665292081	0.2942302638
70	0.9666806009	0.2926661938
71	0.9666944336	0.2919790551
72	0.9667462134	0.2904133432
73	0.96688218	0.289213718
74	0.966872923	0.2880040045
75	0.9668444028	0.2867071187
76	0.9668608889	0.285682199
77	0.9671414914	0.2846126296
78	0.9671092263	0.2833621372
79	0.9670685031	0.2819802857
80	0.9670985203	0.2808602141
81	0.9672009144	0.2794911365
82	0.9673083146	0.2785591183
83	0.9673660521	0.2775162311
84	0.9673944525	0.2765502551
85	0.9673793048	0.2757014784
86	0.9673420871	0.2749567602
87	0.9673208032	0.2740213198
88	0.9673302975	0.2733398738
89	0.96731266	0.2726254749
90	0.9673436582	0.2718203416
91	0.9673354196	0.270892273
92	0.9673167969	0.2703749006
93	0.967392168	0.2696209463
94	0.9673931417	0.2686206596
95	0.9673830011	0.2679606395
96	0.9674017371	0.267336807
97	0.9673993046	0.2665633994
98	0.9674227023	0.2659572675
99	0.9674264866	0.2650836394
100	0.9674312419	0.2644195059
101	0.9674320036	0.2640614514
102	0.9674979262	0.2634432711
103	0.9676126286	0.262765306
104	0.9676064908	0.2620888284
105	0.9676205238	0.2613473022
106	0.9677685633	0.2606754036
