iter	Passed	Remaining
0	37	11089
1	71	10579
2	105	10453
3	147	10902
4	189	11161
5	231	11331
6	271	11369
7	312	11407
8	351	11370
9	392	11370
10	435	11436
11	474	11381
12	513	11342
13	553	11305
14	593	11275
15	635	11273
16	683	11372
17	729	11424
18	769	11382
19	813	11390
20	853	11341
21	892	11274
22	933	11248
23	976	11224
24	1046	11509
25	1088	11467
26	1129	11421
27	1172	11385
28	1213	11344
29	1253	11283
30	1293	11226
31	1333	11169
32	1374	11117
33	1415	11072
34	1455	11016
35	1494	10962
36	1538	10932
37	1578	10882
38	1624	10868
39	1663	10814
40	1703	10762
41	1743	10712
42	1786	10675
43	1828	10636
44	1868	10590
45	1909	10546
46	1951	10505
47	1991	10453
48	2037	10438
49	2066	10332
50	2113	10320
51	2153	10271
52	2196	10237
53	2235	10186
54	2274	10131
55	2315	10090
56	2354	10037
57	2393	9988
58	2433	9939
59	2474	9896
60	2515	9856
61	2557	9815
62	2600	9781
63	2641	9741
64	2682	9700
65	2724	9660
66	2768	9626
67	2812	9594
68	2855	9561
69	2899	9527
70	2942	9489
71	3001	9503
72	3103	9651
73	3190	9745
74	3232	9696
75	3273	9647
76	3314	9597
77	3355	9549
78	3395	9497
79	3435	9446
80	3475	9396
81	3516	9348
82	3556	9297
83	3595	9244
84	3642	9212
85	3684	9169
86	3726	9123
87	3768	9079
88	3809	9031
89	3851	8986
90	3892	8938
91	3931	8889
92	3986	8874
93	4026	8824
94	4068	8780
95	4108	8730
96	4147	8680
97	4190	8637
98	4230	8588
99	4268	8537
100	4308	8489
101	4348	8440
102	4388	8392
103	4428	8345
104	4469	8299
105	4509	8253
106	4549	8205
107	4589	8159
108	4631	8115
109	4672	8071
110	4714	8027
111	4755	7982
112	4796	7937
113	4836	7891
114	4876	7844
115	4915	7797
116	4955	7750
117	4997	7708
118	5040	7665
119	5080	7620
120	5119	7573
121	5159	7528
122	5200	7483
123	5240	7438
124	5282	7395
125	5323	7350
126	5362	7305
127	5406	7264
128	5451	7226
129	5499	7192
130	5535	7141
131	5580	7102
132	5625	7063
133	5670	7024
134	5714	6984
135	5755	6940
136	5799	6900
137	5841	6857
138	5884	6815
139	5931	6779
140	5973	6735
141	6013	6691
142	6053	6646
143	6095	6603
144	6133	6556
145	6174	6512
146	6214	6468
147	6254	6424
148	6295	6379
149	6334	6334
150	6378	6294
151	6417	6248
152	6456	6203
153	6495	6158
154	6534	6112
155	6574	6068
156	6613	6023
157	6653	5979
158	6692	5934
159	6713	5874
160	6752	5829
161	6792	5785
162	6830	5741
163	6869	5697
164	6909	5653
165	6948	5609
166	6987	5565
167	7028	5522
168	7066	5477
169	7097	5427
170	7135	5382
171	7176	5340
172	7215	5296
173	7253	5252
174	7292	5208
175	7330	5164
176	7370	5121
177	7411	5079
178	7450	5036
179	7489	4992
180	7527	4949
181	7567	4906
182	7605	4862
183	7643	4818
184	7683	4776
185	7721	4732
186	7762	4690
187	7803	4648
188	7842	4605
189	7881	4562
190	7918	4519
191	7957	4476
192	7996	4433
193	8035	4390
194	8075	4348
195	8109	4303
196	8152	4262
197	8196	4222
198	8238	4181
199	8282	4141
200	8328	4102
201	8368	4060
202	8409	4018
203	8448	3975
204	8489	3933
205	8527	3891
206	8568	3849
207	8607	3807
208	8648	3765
209	8687	3723
210	8726	3680
211	8766	3638
212	8805	3596
213	8845	3554
214	8884	3512
215	8922	3469
216	8937	3418
217	8976	3376
218	8998	3328
219	9038	3286
220	9078	3245
221	9119	3204
222	9160	3163
223	9199	3121
224	9239	3079
225	9279	3038
226	9318	2996
227	9358	2955
228	9398	2913
229	9436	2872
230	9477	2830
231	9516	2789
232	9540	2743
233	9585	2703
234	9625	2662
235	9665	2621
236	9687	2575
237	9726	2533
238	9768	2493
239	9808	2452
240	9847	2410
241	9886	2369
242	9927	2328
243	9966	2287
244	10003	2245
245	10042	2204
246	10081	2163
247	10120	2121
248	10158	2080
249	10196	2039
250	10236	1998
251	10273	1956
252	10312	1915
253	10334	1871
254	10372	1830
255	10410	1789
256	10425	1744
257	10465	1703
258	10503	1662
259	10541	1621
260	10579	1580
261	10619	1540
262	10659	1499
263	10698	1458
264	10720	1415
265	10759	1375
266	10801	1334
267	10843	1294
268	10881	1254
269	10918	1213
270	10960	1172
271	11000	1132
272	11040	1091
273	11078	1051
274	11119	1010
275	11159	970
276	11198	929
277	11236	889
278	11274	848
279	11313	808
280	11353	767
281	11393	727
282	11431	686
283	11470	646
284	11509	605
285	11531	564
286	11570	524
287	11609	483
288	11658	443
289	11705	403
290	11756	363
291	11794	323
292	11833	282
293	11871	242
294	11910	201
295	11949	161
296	11988	121
297	12018	80
298	12056	40
299	12122	0
